"DOY";"Taxa";"Station"
"1";1;"Total";"BY15"
"2";1;"Total";"BY15"
"3";1;"Total";"BY15"
"4";1;"Total";"BY15"
"5";1;"Total";"BY15"
"6";1;"Total";"BY15"
"7";1;"Total";"BY15"
"8";1;"Total";"BY15"
"9";1;"Total";"BY15"
"10";1;"Total";"BY15"
"11";1;"Total";"BY15"
"12";1;"Total";"BY15"
"13";2;"Total";"BY15"
"14";2;"Total";"BY15"
"15";2;"Total";"BY15"
"16";2;"Total";"BY15"
"17";2;"Total";"BY15"
"18";2;"Total";"BY15"
"19";2;"Total";"BY15"
"20";2;"Total";"BY15"
"21";2;"Total";"BY15"
"22";2;"Total";"BY15"
"23";2;"Total";"BY15"
"24";2;"Total";"BY15"
"25";3;"Total";"BY15"
"26";3;"Total";"BY15"
"27";3;"Total";"BY15"
"28";3;"Total";"BY15"
"29";3;"Total";"BY15"
"30";3;"Total";"BY15"
"31";3;"Total";"BY15"
"32";3;"Total";"BY15"
"33";3;"Total";"BY15"
"34";3;"Total";"BY15"
"35";3;"Total";"BY15"
"36";3;"Total";"BY15"
"37";4;"Total";"BY15"
"38";4;"Total";"BY15"
"39";4;"Total";"BY15"
"40";4;"Total";"BY15"
"41";4;"Total";"BY15"
"42";4;"Total";"BY15"
"43";4;"Total";"BY15"
"44";4;"Total";"BY15"
"45";4;"Total";"BY15"
"46";4;"Total";"BY15"
"47";4;"Total";"BY15"
"48";5;"Total";"BY15"
"49";5;"Total";"BY15"
"50";5;"Total";"BY15"
"51";5;"Total";"BY15"
"52";5;"Total";"BY15"
"53";5;"Total";"BY15"
"54";5;"Total";"BY15"
"55";5;"Total";"BY15"
"56";5;"Total";"BY15"
"57";5;"Total";"BY15"
"58";5;"Total";"BY15"
"59";6;"Total";"BY15"
"60";6;"Total";"BY15"
"61";6;"Total";"BY15"
"62";6;"Total";"BY15"
"63";6;"Total";"BY15"
"64";6;"Total";"BY15"
"65";6;"Total";"BY15"
"66";6;"Total";"BY15"
"67";6;"Total";"BY15"
"68";6;"Total";"BY15"
"69";6;"Total";"BY15"
"70";7;"Total";"BY15"
"71";7;"Total";"BY15"
"72";7;"Total";"BY15"
"73";7;"Total";"BY15"
"74";7;"Total";"BY15"
"75";7;"Total";"BY15"
"76";7;"Total";"BY15"
"77";7;"Total";"BY15"
"78";7;"Total";"BY15"
"79";7;"Total";"BY15"
"80";8;"Total";"BY15"
"81";8;"Total";"BY15"
"82";8;"Total";"BY15"
"83";8;"Total";"BY15"
"84";8;"Total";"BY15"
"85";8;"Total";"BY15"
"86";8;"Total";"BY15"
"87";8;"Total";"BY15"
"88";8;"Total";"BY15"
"89";8;"Total";"BY15"
"90";9;"Total";"BY15"
"91";9;"Total";"BY15"
"92";9;"Total";"BY15"
"93";9;"Total";"BY15"
"94";9;"Total";"BY15"
"95";9;"Total";"BY15"
"96";9;"Total";"BY15"
"97";9;"Total";"BY15"
"98";9;"Total";"BY15"
"99";9;"Total";"BY15"
"100";10;"Total";"BY15"
"101";10;"Total";"BY15"
"102";10;"Total";"BY15"
"103";10;"Total";"BY15"
"104";10;"Total";"BY15"
"105";10;"Total";"BY15"
"106";10;"Total";"BY15"
"107";10;"Total";"BY15"
"108";10;"Total";"BY15"
"109";10;"Total";"BY15"
"110";11;"Total";"BY15"
"111";11;"Total";"BY15"
"112";11;"Total";"BY15"
"113";11;"Total";"BY15"
"114";11;"Total";"BY15"
"115";11;"Total";"BY15"
"116";11;"Total";"BY15"
"117";11;"Total";"BY15"
"118";11;"Total";"BY15"
"119";12;"Total";"BY15"
"120";12;"Total";"BY15"
"121";12;"Total";"BY15"
"122";12;"Total";"BY15"
"123";12;"Total";"BY15"
"124";12;"Total";"BY15"
"125";12;"Total";"BY15"
"126";12;"Total";"BY15"
"127";12;"Total";"BY15"
"128";13;"Total";"BY15"
"129";13;"Total";"BY15"
"130";13;"Total";"BY15"
"131";13;"Total";"BY15"
"132";13;"Total";"BY15"
"133";13;"Total";"BY15"
"134";13;"Total";"BY15"
"135";13;"Total";"BY15"
"136";13;"Total";"BY15"
"137";14;"Total";"BY15"
"138";14;"Total";"BY15"
"139";14;"Total";"BY15"
"140";14;"Total";"BY15"
"141";14;"Total";"BY15"
"142";14;"Total";"BY15"
"143";14;"Total";"BY15"
"144";14;"Total";"BY15"
"145";14;"Total";"BY15"
"146";15;"Total";"BY15"
"147";15;"Total";"BY15"
"148";15;"Total";"BY15"
"149";15;"Total";"BY15"
"150";15;"Total";"BY15"
"151";15;"Total";"BY15"
"152";15;"Total";"BY15"
"153";15;"Total";"BY15"
"154";15;"Total";"BY15"
"155";16;"Total";"BY15"
"156";16;"Total";"BY15"
"157";16;"Total";"BY15"
"158";16;"Total";"BY15"
"159";16;"Total";"BY15"
"160";16;"Total";"BY15"
"161";16;"Total";"BY15"
"162";16;"Total";"BY15"
"163";16;"Total";"BY15"
"164";17;"Total";"BY15"
"165";17;"Total";"BY15"
"166";17;"Total";"BY15"
"167";17;"Total";"BY15"
"168";17;"Total";"BY15"
"169";17;"Total";"BY15"
"170";17;"Total";"BY15"
"171";17;"Total";"BY15"
"172";17;"Total";"BY15"
"173";18;"Total";"BY15"
"174";18;"Total";"BY15"
"175";18;"Total";"BY15"
"176";18;"Total";"BY15"
"177";18;"Total";"BY15"
"178";18;"Total";"BY15"
"179";18;"Total";"BY15"
"180";18;"Total";"BY15"
"181";18;"Total";"BY15"
"182";19;"Total";"BY15"
"183";19;"Total";"BY15"
"184";19;"Total";"BY15"
"185";19;"Total";"BY15"
"186";19;"Total";"BY15"
"187";19;"Total";"BY15"
"188";19;"Total";"BY15"
"189";19;"Total";"BY15"
"190";19;"Total";"BY15"
"191";20;"Total";"BY15"
"192";20;"Total";"BY15"
"193";20;"Total";"BY15"
"194";20;"Total";"BY15"
"195";20;"Total";"BY15"
"196";20;"Total";"BY15"
"197";20;"Total";"BY15"
"198";20;"Total";"BY15"
"199";20;"Total";"BY15"
"200";21;"Total";"BY15"
"201";21;"Total";"BY15"
"202";21;"Total";"BY15"
"203";21;"Total";"BY15"
"204";21;"Total";"BY15"
"205";21;"Total";"BY15"
"206";21;"Total";"BY15"
"207";21;"Total";"BY15"
"208";21;"Total";"BY15"
"209";22;"Total";"BY15"
"210";22;"Total";"BY15"
"211";22;"Total";"BY15"
"212";22;"Total";"BY15"
"213";22;"Total";"BY15"
"214";22;"Total";"BY15"
"215";22;"Total";"BY15"
"216";22;"Total";"BY15"
"217";22;"Total";"BY15"
"218";23;"Total";"BY15"
"219";23;"Total";"BY15"
"220";23;"Total";"BY15"
"221";23;"Total";"BY15"
"222";23;"Total";"BY15"
"223";23;"Total";"BY15"
"224";23;"Total";"BY15"
"225";23;"Total";"BY15"
"226";23;"Total";"BY15"
"227";24;"Total";"BY15"
"228";24;"Total";"BY15"
"229";24;"Total";"BY15"
"230";24;"Total";"BY15"
"231";24;"Total";"BY15"
"232";24;"Total";"BY15"
"233";24;"Total";"BY15"
"234";24;"Total";"BY15"
"235";24;"Total";"BY15"
"236";25;"Total";"BY15"
"237";25;"Total";"BY15"
"238";25;"Total";"BY15"
"239";25;"Total";"BY15"
"240";25;"Total";"BY15"
"241";25;"Total";"BY15"
"242";25;"Total";"BY15"
"243";25;"Total";"BY15"
"244";25;"Total";"BY15"
"245";26;"Total";"BY15"
"246";26;"Total";"BY15"
"247";26;"Total";"BY15"
"248";26;"Total";"BY15"
"249";26;"Total";"BY15"
"250";26;"Total";"BY15"
"251";26;"Total";"BY15"
"252";26;"Total";"BY15"
"253";26;"Total";"BY15"
"254";27;"Total";"BY15"
"255";27;"Total";"BY15"
"256";27;"Total";"BY15"
"257";27;"Total";"BY15"
"258";27;"Total";"BY15"
"259";27;"Total";"BY15"
"260";27;"Total";"BY15"
"261";27;"Total";"BY15"
"262";27;"Total";"BY15"
"263";28;"Total";"BY15"
"264";28;"Total";"BY15"
"265";28;"Total";"BY15"
"266";28;"Total";"BY15"
"267";28;"Total";"BY15"
"268";28;"Total";"BY15"
"269";28;"Total";"BY15"
"270";28;"Total";"BY15"
"271";28;"Total";"BY15"
"272";29;"Total";"BY15"
"273";29;"Total";"BY15"
"274";29;"Total";"BY15"
"275";29;"Total";"BY15"
"276";29;"Total";"BY15"
"277";29;"Total";"BY15"
"278";29;"Total";"BY15"
"279";29;"Total";"BY15"
"280";29;"Total";"BY15"
"281";30;"Total";"BY15"
"282";30;"Total";"BY15"
"283";30;"Total";"BY15"
"284";30;"Total";"BY15"
"285";30;"Total";"BY15"
"286";30;"Total";"BY15"
"287";30;"Total";"BY15"
"288";30;"Total";"BY15"
"289";30;"Total";"BY15"
"290";31;"Total";"BY15"
"291";31;"Total";"BY15"
"292";31;"Total";"BY15"
"293";31;"Total";"BY15"
"294";31;"Total";"BY15"
"295";31;"Total";"BY15"
"296";31;"Total";"BY15"
"297";31;"Total";"BY15"
"298";31;"Total";"BY15"
"299";32;"Total";"BY15"
"300";32;"Total";"BY15"
"301";32;"Total";"BY15"
"302";32;"Total";"BY15"
"303";32;"Total";"BY15"
"304";32;"Total";"BY15"
"305";32;"Total";"BY15"
"306";32;"Total";"BY15"
"307";32;"Total";"BY15"
"308";32;"Total";"BY15"
"309";33;"Total";"BY15"
"310";33;"Total";"BY15"
"311";33;"Total";"BY15"
"312";33;"Total";"BY15"
"313";33;"Total";"BY15"
"314";33;"Total";"BY15"
"315";33;"Total";"BY15"
"316";33;"Total";"BY15"
"317";33;"Total";"BY15"
"318";33;"Total";"BY15"
"319";34;"Total";"BY15"
"320";34;"Total";"BY15"
"321";34;"Total";"BY15"
"322";34;"Total";"BY15"
"323";34;"Total";"BY15"
"324";34;"Total";"BY15"
"325";34;"Total";"BY15"
"326";34;"Total";"BY15"
"327";34;"Total";"BY15"
"328";34;"Total";"BY15"
"329";35;"Total";"BY15"
"330";35;"Total";"BY15"
"331";35;"Total";"BY15"
"332";35;"Total";"BY15"
"333";35;"Total";"BY15"
"334";35;"Total";"BY15"
"335";35;"Total";"BY15"
"336";35;"Total";"BY15"
"337";35;"Total";"BY15"
"338";35;"Total";"BY15"
"339";36;"Total";"BY15"
"340";36;"Total";"BY15"
"341";36;"Total";"BY15"
"342";36;"Total";"BY15"
"343";36;"Total";"BY15"
"344";36;"Total";"BY15"
