"Taxa";"Year";"Station";"Group";"Timing";"Maximum";"Magnitude";"Start";"End";"Middle";"Duration"
"1";"Cyanobacteria";2008;"BY15";"Phytoplankton";26;60.346493;55.6609421944445;23.6666666666667;29;26.4;5.33333333333333
"2";"Cyanobacteria";2008;"BY31";"Phytoplankton";31;14.347354;8.44045085;24.8;34.25;29.8333333333333;9.45
"3";"Cyanobacteria";2008;"BY5";"Phytoplankton";30;116.958291333333;91.2105526666666;27.6;30.85;29.5294117647059;3.25
"4";"Dinoflagellates";2008;"BY15";"Phytoplankton";17;67.676483;59.573976495;14.5;19.1;16.6666666666667;4.6
"5";"Dinoflagellates";2008;"BY31";"Phytoplankton";17;43.4386869;30.1964676125;14.7692307692308;18;16.6190476190476;3.23076923076923
"6";"Dinoflagellates";2008;"BY5";"Phytoplankton";19;30.61136825;12.78835508;16.6;21.3055555555556;20.3;4.70555555555556
"7";"Mesodinium";2008;"BY15";"Phytoplankton";25;114.390792;37.9698439791667;18.7272727272727;30.6666666666667;20.7272727272727;11.9393939393939
"8";"Mesodinium";2008;"BY31";"Phytoplankton";26;27.76426;8.287521775;16.6;36;21;19.4
"9";"Mesodinium";2008;"BY5";"Phytoplankton";24;23.0067439666667;13.105801447619;12.3333333333333;33.25;26;20.9166666666667
"10";"Other";2008;"BY15";"Phytoplankton";21;175.0157489;134.845340933333;12.8333333333333;24;18.75;11.1666666666667
"11";"Other";2008;"BY31";"Phytoplankton";26;260.731107;64.5654397470588;18;34;20.1428571428571;16
"12";"Other";2008;"BY5";"Phytoplankton";22;151.4943014;104.20419703125;17.2857142857143;25.6666666666667;20.375;8.38095238095238
"13";"Spring_bloom";2008;"BY15";"Phytoplankton";16;279.60228675;220.289934642857;12.5714285714286;19.3636363636364;16.4285714285714;6.79220779220779
"14";"Spring_bloom";2008;"BY31";"Phytoplankton";18;299.1443783;194.10612605;15.2857142857143;19.3571428571429;17.8461538461538;4.07142857142857
"15";"Spring_bloom";2008;"BY5";"Phytoplankton";17;153.06231675;115.0734378;14.2;19.9166666666667;17.6666666666667;5.71666666666667
"16";"Spring_Diatoms";2008;"BY15";"Phytoplankton";16;11.5565268;10.26750456;14.1;18.7777777777778;16.3636363636364;4.67777777777778
"17";"Spring_Diatoms";2008;"BY31";"Phytoplankton";14;59.40318288;46.010957365;12.125;14.5;12.90625;2.375
"18";"Spring_Diatoms";2008;"BY5";"Phytoplankton";11;4.6464811;3.724431255;7.5;12.8;10.4;5.3
"19";"Summer_bloom";2008;"BY15";"Phytoplankton";27;235.265854;171.178999944445;23.8461538461538;29.7142857142857;26.25;5.86813186813187
"20";"Summer_bloom";2008;"BY31";"Phytoplankton";29;61.6571733;47.17841498125;25;32.2;29;7.2
"21";"Summer_bloom";2008;"BY5";"Phytoplankton";29;207.859222333333;170.568419583333;25;30.9090909090909;28.375;5.90909090909091
"22";"Fall_Diatoms";2008;"BY15";"Phytoplankton";45;4.2719941;3.48547970066667;42.5714285714286;47.6666666666667;45.2727272727273;5.09523809523809
"23";"Fall_Diatoms";2008;"BY31";"Phytoplankton";46;3.5460552;2.82150687333333;43.7272727272727;47;45.3888888888889;3.27272727272727
"24";"Fall_Diatoms";2008;"BY5";"Phytoplankton";47;82.5635041;71.9164581458334;44.25;48;46.0714285714286;3.75
"25";"Synechococcales";2008;"BY15";"Phytoplankton";28;13.8860715;11.923564185;26;30.1818181818182;28.1538461538462;4.18181818181818
"26";"Synechococcales";2008;"BY31";"Phytoplankton";30;24.874966;21.327737;27.6923076923077;30.6666666666667;29.1666666666667;2.97435897435897
"27";"Synechococcales";2008;"BY5";"Phytoplankton";35;26.6639032666667;18.6926754577273;28.2857142857143;39;32.8;10.7142857142857
"28";"Cyanobacteria";2009;"BY15";"Phytoplankton";29;49.901049;27.1390846428571;25.4545454545455;32;27.4166666666667;6.54545454545455
"29";"Cyanobacteria";2009;"BY31";"Phytoplankton";29;74.161268;52.61782525;25.4;29.8;27.1428571428571;4.4
"30";"Cyanobacteria";2009;"BY5";"Phytoplankton";28;15.9425307;8.90500027222222;23;31.3333333333333;27;8.33333333333333
"31";"Dinoflagellates";2009;"BY15";"Phytoplankton";16;145.582924;122.753560783333;14.4375;17.25;15.7272727272727;2.8125
"32";"Dinoflagellates";2009;"BY31";"Phytoplankton";18;127.14691795;117.312126425;16.1176470588235;18.7272727272727;17.5263157894737;2.6096256684492
"33";"Dinoflagellates";2009;"BY5";"Phytoplankton";17;15.03692;12.812583635;14.9;19.4444444444444;16.9166666666667;4.54444444444444
"34";"Mesodinium";2009;"BY15";"Phytoplankton";20;66.23076;47.6699657142857;15.4;22.5714285714286;18.4285714285714;7.17142857142857
"35";"Mesodinium";2009;"BY31";"Phytoplankton";22;18.310174;10.1184139166667;15.5;27.25;19.8333333333333;11.75
"36";"Mesodinium";2009;"BY5";"Phytoplankton";21;30.256954;24.25645225;14;22.6666666666667;17.6666666666667;8.66666666666667
"37";"Other";2009;"BY15";"Phytoplankton";27;18.7989787;13.2469079409091;20.25;31.6;27.2;11.35
"38";"Other";2009;"BY31";"Phytoplankton";29;17.61848;12.2811123357143;21.25;35;28.6;13.75
"39";"Other";2009;"BY5";"Phytoplankton";23;45.5114226;31.7511864931818;17.3333333333333;28;21.4;10.6666666666667
"40";"Spring_bloom";2009;"BY15";"Phytoplankton";17;228.142011;184.1802755;14.4615384615385;18;16.0666666666667;3.53846153846154
"41";"Spring_bloom";2009;"BY31";"Phytoplankton";17;154.4328488;134.6191444;15.3333333333333;18.7777777777778;17.2666666666667;3.44444444444444
"42";"Spring_bloom";2009;"BY5";"Phytoplankton";17;110.995482;99.2450742;14.2222222222222;19;16.5454545454545;4.77777777777778
"43";"Spring_Diatoms";2009;"BY15";"Phytoplankton";15;11.727802;9.1074015825;13.75;16.5625;15.2380952380952;2.8125
"44";"Spring_Diatoms";2009;"BY31";"Phytoplankton";14;36.00267949;36.00267949;13.5142857142857;14.5789473684211;14.140350877193;1.06466165413534
