"Taxa";"Year";"Station";"Group";"Timing";"Maximum";"Magnitude";"Start";"End";"Middle";"Duration"
"1";"Acartia";2008;"BY15";"Copepoda";21;84.313762;52.0104987594595;9;28.3333333333333;21;19.3333333333333
"2";"Acartia";2008;"BY31";"Copepoda";26;118.431354;66.8417283214286;20;33.5;24.1666666666667;13.5
"3";"Acartia";2008;"BY5";"Copepoda";24;36.372549;24.6046126835586;11.5;35.5;24.5;24
"4";"Acartia";2009;"BY15";"Copepoda";29;78.88888;38.0315876466667;20;34.8333333333333;30;14.8333333333333
"5";"Acartia";2009;"BY31";"Copepoda";32;36.633985;18.5830567819444;22.5;40.6666666666667;34;18.1666666666667
"6";"Acartia";2009;"BY5";"Copepoda";27;57.156851;40.49664521875;18.75;34;24.75;15.25
"7";"Acartia";2010;"BY15";"Copepoda";32;133.072073;59.4212552692308;25;37.6666666666667;32.6666666666667;12.6666666666667
"8";"Acartia";2010;"BY31";"Copepoda";34;76.14377;46.9964450681818;28;38.875;35;10.875
"9";"Acartia";2010;"BY5";"Copepoda";29;113.349625;93.8112618333333;23;34.3333333333333;28;11.3333333333333
"10";"Acartia";2011;"BY15";"Copepoda";26;230.71904;160.461677271667;21.1666666666667;29;24.4444444444444;7.83333333333333
"11";"Acartia";2011;"BY31";"Copepoda";30;95.294149;74.3861115;26.4285714285714;33.7142857142857;30.625;7.28571428571429
"12";"Acartia";2011;"BY5";"Copepoda";28;135.620853;89.5714174561984;22;32.5;25.7142857142857;10.5
"13";"Acartia";2012;"BY15";"Copepoda";27;80.4575045;64.2498696685185;21;29.8;25.8333333333333;8.8
"14";"Acartia";2012;"BY31";"Copepoda";29;99.7385585;63.83637425;25.3333333333333;32.8181818181818;30.125;7.48484848484849
"15";"Acartia";2012;"BY5";"Copepoda";24;40.130691;24.2239407117647;14;30.3333333333333;24.5;16.3333333333333
"16";"Acartia";2013;"BY15";"Copepoda";35;167.3200995;121.40642094;34.8;39.125;36.9333333333333;4.325
"17";"Acartia";2013;"BY31";"Copepoda";31;78.660115;36.3235235555556;26.3333333333333;35.2;32.3333333333333;8.86666666666667
"18";"Acartia";2013;"BY5";"Copepoda";27;147.581711;115.21243415;22.4285714285714;28.2;25.2727272727273;5.77142857142857
"19";"Acartia";2014;"BY15";"Copepoda";28;69.803982;47.0047240264286;22.5;32.2;27.5;9.7
"20";"Acartia";2014;"BY31";"Copepoda";29;163.3987;89.3682170833333;26;31.1666666666667;28.8125;5.16666666666667
"21";"Acartia";2014;"BY5";"Copepoda";31;57.25495;40.0122757901786;24;39;29.75;15
"22";"Acartia";2015;"BY15";"Copepoda";29;28.13332;26.2948107634615;22.25;35;28.25;12.75
"23";"Acartia";2015;"BY31";"Copepoda";32;121.76463;45.3365886029412;21.5;38;33.6666666666667;16.5
"24";"Acartia";2015;"BY5";"Copepoda";26;75.2475691428571;55.8706554880952;17.6;31.5;24.6666666666667;13.9
"25";"Acartia";2016;"BY15";"Copepoda";28;100.19997;65.069595135;22;31.25;27.5714285714286;9.25
"26";"Acartia";2016;"BY31";"Copepoda";31;122.766636;59.54167;27;35.6;32.1818181818182;8.6
"27";"Acartia";2016;"BY5";"Copepoda";24;102.933325;50.8171440733333;15.2857142857143;30;22;14.7142857142857
"28";"Acartia";2017;"BY15";"Copepoda";25;46.9999669;36.5596648545249;18.5;31.3333333333333;23.8;12.8333333333333
"29";"Acartia";2017;"BY31";"Copepoda";27;90.466651;42.7490593107143;18.6666666666667;32.6;25;13.9333333333333
"30";"Acartia";2017;"BY5";"Copepoda";30;145.433435;78.2782770277778;21;38;28.3333333333333;17
"31";"Acartia";2018;"BY15";"Copepoda";31;55.3440076;54.522699525;24;38.25;31.25;14.25
"32";"Acartia";2018;"BY31";"Copepoda";32;140.533355;58.31458671875;24.625;40.5;31.6;15.875
"33";"Acartia";2018;"BY5";"Copepoda";31;109.9799669;93.2866541;23;39;30.3333333333333;16
"34";"Acartia";2019;"BY15";"Copepoda";26;647.06561;300.218614208333;22.1;31.6666666666667;24.4444444444444;9.56666666666667
"35";"Acartia";2019;"BY31";"Copepoda";28;62.46673;46.2272404375;22.25;34;27.5;11.75
"36";"Acartia";2019;"BY5";"Copepoda";26;80.040055;58.8833550923077;19;31;24;12
"37";"Acartia";2020;"BY15";"Copepoda";22;158.533331;67.865518775;16;29.5;19.7142857142857;13.5
"38";"Acartia";2020;"BY31";"Copepoda";29;111.20006;46.6654811428571;22;35.6;30.25;13.6
"39";"Acartia";2020;"BY5";"Copepoda";22;164.916675;122.053716515385;15;27;20.2;12
"40";"Acartia";2021;"BY15";"Copepoda";29;31.6833335;21.1956648986842;19;37.6666666666667;29.6666666666667;18.6666666666667
"41";"Acartia";2021;"BY31";"Copepoda";32;52.600005;33.762333825;24.6666666666667;38;33.1666666666667;13.3333333333333
"42";"Acartia";2021;"BY5";"Copepoda";26;41.58332;32.2143912973684;16.75;35;24.3333333333333;18.25
"43";"Acartia";2022;"BY15";"Copepoda";29;108.0000265;45.9972316615385;22;34.7142857142857;31.4285714285714;12.7142857142857
"44";"Acartia";2022;"BY31";"Copepoda";29;46.300046;31.8746174807692;22.5;35.6666666666667;28;13.1666666666667
