"Year";"Month";"Station";"n"
"1";"2007";3;"BY31";2
"2";"2007";4;"BY31";4
"3";"2007";5;"BY31";2
"4";"2007";6;"BY15";1
"5";"2007";6;"BY31";2
"6";"2007";6;"BY5";1
"7";"2007";7;"BY15";1
"8";"2007";7;"BY31";2
"9";"2007";7;"BY5";1
"10";"2007";8;"BY15";2
"11";"2007";8;"BY31";3
"12";"2007";8;"BY5";2
"13";"2007";9;"BY31";2
"14";"2007";10;"BY31";1
"15";"2008";3;"BY31";2
"16";"2008";4;"BY31";4
"17";"2008";5;"BY15";1
"18";"2008";5;"BY31";2
"19";"2008";5;"BY5";1
"20";"2008";6;"BY15";1
"21";"2008";6;"BY31";2
"22";"2008";6;"BY5";1
"23";"2008";7;"BY15";2
"24";"2008";7;"BY31";3
"25";"2008";7;"BY5";2
"26";"2008";8;"BY15";1
"27";"2008";8;"BY31";2
"28";"2008";8;"BY5";1
"29";"2008";9;"BY15";1
"30";"2008";9;"BY31";2
"31";"2008";9;"BY5";1
"32";"2008";10;"BY15";1
"33";"2008";10;"BY31";1
"34";"2008";10;"BY5";1
"35";"2008";11;"BY15";1
"36";"2008";11;"BY5";1
"37";"2008";12;"BY15";1
"38";"2008";12;"BY5";1
"39";"2009";1;"BY15";1
"40";"2009";1;"BY31";1
"41";"2009";1;"BY5";1
"42";"2009";2;"BY15";1
"43";"2009";2;"BY31";1
"44";"2009";2;"BY5";1
"45";"2009";3;"BY15";1
"46";"2009";3;"BY31";2
"47";"2009";4;"BY31";4
"48";"2009";5;"BY15";1
"49";"2009";5;"BY31";2
"50";"2009";5;"BY5";1
"51";"2009";6;"BY15";1
"52";"2009";6;"BY31";1
"53";"2009";6;"BY5";1
"54";"2009";7;"BY15";2
"55";"2009";7;"BY31";3
"56";"2009";7;"BY5";2
"57";"2009";8;"BY15";1
"58";"2009";8;"BY31";2
"59";"2009";8;"BY5";1
"60";"2009";9;"BY15";1
"61";"2009";9;"BY31";2
"62";"2009";9;"BY5";1
"63";"2009";10;"BY15";1
"64";"2009";10;"BY31";1
"65";"2009";10;"BY5";1
"66";"2009";11;"BY15";1
"67";"2009";11;"BY31";2
"68";"2009";11;"BY5";1
"69";"2009";12;"BY15";1
"70";"2009";12;"BY5";1
"71";"2010";1;"BY15";1
"72";"2010";1;"BY31";1
"73";"2010";2;"BY15";1
"74";"2010";2;"BY5";1
"75";"2010";3;"BY15";1
"76";"2010";3;"BY31";2
"77";"2010";3;"BY5";1
"78";"2010";4;"BY15";1
"79";"2010";4;"BY31";4
"80";"2010";4;"BY5";1
"81";"2010";5;"BY15";1
"82";"2010";5;"BY31";2
"83";"2010";5;"BY5";1
"84";"2010";6;"BY15";1
"85";"2010";6;"BY31";2
"86";"2010";6;"BY5";2
"87";"2010";7;"BY15";2
"88";"2010";7;"BY31";2
"89";"2010";7;"BY5";1
"90";"2010";8;"BY15";1
"91";"2010";8;"BY31";2
"92";"2010";8;"BY5";1
"93";"2010";9;"BY15";1
"94";"2010";9;"BY31";3
"95";"2010";9;"BY5";1
"96";"2010";10;"BY31";1
"97";"2010";11;"BY15";1
"98";"2010";11;"BY31";1
"99";"2010";11;"BY5";1
"100";"2010";12;"BY5";1
"101";"2011";1;"BY15";1
"102";"2011";1;"BY31";1
"103";"2011";1;"BY5";1
"104";"2011";3;"BY15";1
"105";"2011";3;"BY31";3
"106";"2011";3;"BY5";1
"107";"2011";4;"BY15";1
"108";"2011";4;"BY31";3
"109";"2011";4;"BY5";1
"110";"2011";5;"BY31";2
"111";"2011";6;"BY15";1
