"Year";"Month";"Station";"n"
"1";"2007";1;"BY15";1
"2";"2007";1;"BY31";1
"3";"2007";1;"BY5";1
"4";"2007";2;"BY15";1
"5";"2007";2;"BY31";1
"6";"2007";3;"BY15";1
"7";"2007";3;"BY31";2
"8";"2007";3;"BY5";1
"9";"2007";4;"BY15";1
"10";"2007";4;"BY31";4
"11";"2007";4;"BY5";1
"12";"2007";5;"BY15";1
"13";"2007";5;"BY31";2
"14";"2007";5;"BY5";1
"15";"2007";6;"BY31";2
"16";"2007";6;"BY5";1
"17";"2007";7;"BY15";1
"18";"2007";7;"BY31";2
"19";"2007";7;"BY5";1
"20";"2007";8;"BY15";2
"21";"2007";8;"BY31";3
"22";"2007";8;"BY5";2
"23";"2007";9;"BY15";1
"24";"2007";9;"BY31";2
"25";"2007";9;"BY5";1
"26";"2007";10;"BY15";1
"27";"2007";10;"BY31";1
"28";"2007";10;"BY5";1
"29";"2007";11;"BY15";1
"30";"2007";11;"BY31";1
"31";"2007";11;"BY5";1
"32";"2007";12;"BY31";1
"33";"2008";1;"BY15";1
"34";"2008";1;"BY31";1
"35";"2008";1;"BY5";1
"36";"2008";2;"BY15";1
"37";"2008";2;"BY31";1
"38";"2008";2;"BY5";1
"39";"2008";3;"BY15";1
"40";"2008";3;"BY31";2
"41";"2008";3;"BY5";1
"42";"2008";4;"BY15";1
"43";"2008";4;"BY31";4
"44";"2008";4;"BY5";1
"45";"2008";5;"BY15";1
"46";"2008";5;"BY31";2
"47";"2008";5;"BY5";1
"48";"2008";6;"BY15";1
"49";"2008";6;"BY31";2
"50";"2008";6;"BY5";1
"51";"2008";7;"BY15";2
"52";"2008";7;"BY31";3
"53";"2008";7;"BY5";2
"54";"2008";8;"BY15";1
"55";"2008";8;"BY31";2
"56";"2008";8;"BY5";1
"57";"2008";9;"BY15";1
"58";"2008";9;"BY31";1
"59";"2008";9;"BY5";1
"60";"2008";10;"BY15";1
"61";"2008";10;"BY31";1
"62";"2008";10;"BY5";1
"63";"2008";11;"BY15";1
"64";"2008";11;"BY31";1
"65";"2008";11;"BY5";1
"66";"2008";12;"BY31";1
"67";"2009";1;"BY15";1
"68";"2009";1;"BY31";1
"69";"2009";1;"BY5";1
"70";"2009";2;"BY15";1
"71";"2009";2;"BY31";1
"72";"2009";2;"BY5";1
"73";"2009";3;"BY15";1
"74";"2009";3;"BY31";2
"75";"2009";3;"BY5";1
"76";"2009";4;"BY15";1
"77";"2009";4;"BY31";4
"78";"2009";4;"BY5";1
"79";"2009";5;"BY15";1
"80";"2009";5;"BY31";2
"81";"2009";5;"BY5";1
"82";"2009";6;"BY15";1
"83";"2009";6;"BY31";2
"84";"2009";6;"BY5";1
"85";"2009";7;"BY15";2
"86";"2009";7;"BY31";3
"87";"2009";7;"BY5";2
"88";"2009";8;"BY15";1
"89";"2009";8;"BY31";2
"90";"2009";8;"BY5";1
"91";"2009";9;"BY15";1
"92";"2009";9;"BY31";2
"93";"2009";9;"BY5";1
"94";"2009";10;"BY15";1
"95";"2009";10;"BY31";1
"96";"2009";10;"BY5";1
"97";"2009";11;"BY15";1
"98";"2009";11;"BY31";2
"99";"2009";11;"BY5";1
"100";"2010";1;"BY15";1
"101";"2010";1;"BY31";1
"102";"2010";2;"BY15";1
"103";"2010";2;"BY31";1
"104";"2010";2;"BY5";1
"105";"2010";3;"BY15";1
"106";"2010";3;"BY31";2
"107";"2010";3;"BY5";1
"108";"2010";4;"BY15";1
"109";"2010";4;"BY31";4
"110";"2010";4;"BY5";1
"111";"2010";5;"BY15";1
"112";"2010";5;"BY31";2
"113";"2010";5;"BY5";1
"114";"2010";6;"BY15";1
"115";"2010";6;"BY31";2
"116";"2010";6;"BY5";2
"117";"2010";7;"BY15";2
"118";"2010";7;"BY31";2
"119";"2010";7;"BY5";1
"120";"2010";8;"BY15";1
"121";"2010";8;"BY31";2
"122";"2010";8;"BY5";1
"123";"2010";9;"BY15";1
"124";"2010";9;"BY31";3
"125";"2010";9;"BY5";1
"126";"2010";10;"BY15";1
"127";"2010";10;"BY31";1
"128";"2010";10;"BY5";1
"129";"2010";11;"BY15";1
"130";"2010";11;"BY31";2
"131";"2010";11;"BY5";1
"132";"2010";12;"BY5";1
"133";"2011";1;"BY15";1
"134";"2011";1;"BY31";1
"135";"2011";1;"BY5";1
"136";"2011";3;"BY15";1
"137";"2011";3;"BY31";2
"138";"2011";3;"BY5";1
"139";"2011";4;"BY15";1
"140";"2011";4;"BY31";3
"141";"2011";4;"BY5";1
"142";"2011";5;"BY31";2
"143";"2011";6;"BY15";1
"144";"2011";6;"BY31";2
"145";"2011";6;"BY5";1
"146";"2011";7;"BY15";1
"147";"2011";7;"BY31";2
"148";"2011";7;"BY5";1
"149";"2011";8;"BY15";1
"150";"2011";8;"BY31";2
"151";"2011";8;"BY5";1
"152";"2011";9;"BY15";1
"153";"2011";9;"BY31";2
"154";"2011";9;"BY5";1
"155";"2011";10;"BY15";1
"156";"2011";10;"BY31";1
"157";"2011";10;"BY5";1
"158";"2011";11;"BY15";1
"159";"2011";11;"BY31";1
"160";"2011";11;"BY5";1
"161";"2011";12;"BY15";1
"162";"2011";12;"BY31";1
"163";"2011";12;"BY5";1
"164";"2012";1;"BY15";1
"165";"2012";1;"BY5";1
"166";"2012";3;"BY15";1
"167";"2012";3;"BY31";2
"168";"2012";4;"BY31";4
"169";"2012";5;"BY31";2
"170";"2012";5;"BY5";1
"171";"2012";6;"BY31";2
"172";"2012";7;"BY15";1
