"year";"month";"Station";"n"
"1";2007;"01";"BY15";1
"2";2007;"01";"BY31";1
"3";2007;"01";"BY5";1
"4";2007;"02";"BY15";1
"5";2007;"03";"BY15";1
"6";2007;"03";"BY31";2
"7";2007;"03";"BY5";1
"8";2007;"04";"BY15";1
"9";2007;"04";"BY31";4
"10";2007;"04";"BY5";1
"11";2007;"05";"BY15";1
"12";2007;"05";"BY31";2
"13";2007;"05";"BY5";1
"14";2007;"06";"BY15";1
"15";2007;"06";"BY31";2
"16";2007;"06";"BY5";1
"17";2007;"07";"BY15";1
"18";2007;"07";"BY31";2
"19";2007;"07";"BY5";1
"20";2007;"08";"BY15";2
"21";2007;"08";"BY31";2
"22";2007;"08";"BY5";2
"23";2007;"09";"BY15";1
"24";2007;"09";"BY31";2
"25";2007;"09";"BY5";1
"26";2007;"10";"BY15";1
"27";2007;"10";"BY31";2
"28";2007;"10";"BY5";1
"29";2007;"11";"BY15";1
"30";2007;"11";"BY31";1
"31";2007;"11";"BY5";1
"32";2007;"12";"BY15";1
"33";2007;"12";"BY31";1
"34";2007;"12";"BY5";1
"35";2008;"01";"BY15";1
"36";2008;"01";"BY31";1
"37";2008;"01";"BY5";1
"38";2008;"02";"BY15";1
"39";2008;"02";"BY31";1
"40";2008;"02";"BY5";1
"41";2008;"03";"BY15";1
"42";2008;"03";"BY31";2
"43";2008;"03";"BY5";1
"44";2008;"04";"BY15";1
"45";2008;"04";"BY31";4
"46";2008;"04";"BY5";1
"47";2008;"05";"BY15";1
"48";2008;"05";"BY31";2
"49";2008;"05";"BY5";1
"50";2008;"06";"BY15";1
"51";2008;"06";"BY31";2
"52";2008;"06";"BY5";1
"53";2008;"07";"BY15";2
"54";2008;"07";"BY31";3
"55";2008;"07";"BY5";2
"56";2008;"08";"BY15";1
"57";2008;"08";"BY31";2
"58";2008;"08";"BY5";1
"59";2008;"09";"BY15";1
"60";2008;"09";"BY31";3
"61";2008;"09";"BY5";1
"62";2008;"10";"BY15";1
"63";2008;"10";"BY31";2
"64";2008;"10";"BY5";1
"65";2008;"11";"BY15";1
"66";2008;"11";"BY31";1
"67";2008;"11";"BY5";1
"68";2008;"12";"BY15";1
"69";2008;"12";"BY31";1
"70";2008;"12";"BY5";1
"71";2009;"01";"BY15";1
"72";2009;"01";"BY31";1
"73";2009;"01";"BY5";1
"74";2009;"02";"BY15";1
"75";2009;"02";"BY31";1
"76";2009;"02";"BY5";1
"77";2009;"03";"BY15";1
"78";2009;"03";"BY31";2
"79";2009;"03";"BY5";1
"80";2009;"04";"BY15";1
"81";2009;"04";"BY31";4
"82";2009;"04";"BY5";1
"83";2009;"05";"BY15";1
"84";2009;"05";"BY31";2
"85";2009;"05";"BY5";1
"86";2009;"06";"BY15";1
"87";2009;"06";"BY31";2
"88";2009;"06";"BY5";1
"89";2009;"07";"BY15";2
"90";2009;"07";"BY31";3
"91";2009;"07";"BY5";2
"92";2009;"08";"BY15";1
"93";2009;"08";"BY31";2
"94";2009;"08";"BY5";1
"95";2009;"09";"BY15";1
"96";2009;"09";"BY31";3
"97";2009;"09";"BY5";1
"98";2009;"10";"BY15";1
"99";2009;"10";"BY31";2
"100";2009;"10";"BY5";1
"101";2009;"11";"BY15";1
"102";2009;"11";"BY31";2
"103";2009;"11";"BY5";1
"104";2009;"12";"BY15";1
"105";2009;"12";"BY5";1
"106";2010;"01";"BY15";1
"107";2010;"01";"BY31";1
"108";2010;"02";"BY15";1
"109";2010;"02";"BY31";1
"110";2010;"02";"BY5";1
